COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code de la zone géographique;268;Castelnaudary;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;269;Miramas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;270;Pithiviers;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;271;Biars-sur-Cère - Saint-Céré;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;272;Pleyben - Châteaulin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;273;Chauny;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;274;Pont-à-Mousson;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;275;Apt;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;276;Gray;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;277;Péronne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;278;Mende;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;279;Avallon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;280;Creutzwald;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;281;Foix;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;282;Lourdes;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;283;Tergnier;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;284;Saint-Girons;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;285;Saint-Jean-de-Maurienne;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;286;Belley;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;287;Fourmies;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;288;La Flèche;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;289;Landivisiau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;290;Briançon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;291;Lure;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;292;Paimpol;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;293;Saint-Pol-sur-Ternoise;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;294;Chinon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;295;Saint-Marcellin;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;296;Roscoff - Saint-Pol-de-Léon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;297;Vittel - Contrexéville;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;298;Porto-Vecchio;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;299;Yvetot;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;300;Saint-Amand-Montrond;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;301;Le Luc;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;302;Capbreton;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;303;Somain;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;304;L'Isle-sur-la-Sorgue;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;305;Carhaix-Plouguer;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;306;Gaillac;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;307;Neufchâteau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;308;Hirson;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;309;Ussel;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;310;Orthez;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;311;Luçon;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;312;Lannemezan;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;313;Morteau;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;314;Bédarieux;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;315;Saint-Jean-d'Angély;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;316;Le Grau-du-Roi;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;317;Amnéville - Rombas;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;318;Issoudun;CHAR;3
CODGEO;Code géographique;Code de la zone géographique;319;Saint-Claude;CHAR;3
