Numero d'action ,Organisme,Arrondissement,Lieux,Code INSEE  communes,Formation 2024,Formation 1T 2025
2023_A1459_IRFA_ALIL_0001,IRFA,LILLE,LILLE,59350,X,X
2023_A0163_INST_ADKM_0001,INSTEP,DUNKERQUE MARITIME,GRAVELINES,59273,X,
2023_A0163_INST_ADKM_0001,INSTEP,DUNKERQUE MARITIME,GRANDE SYNTHE,59271,X,
2023_A0093_GIP _ABET_0001,GIP FCIP LILLE,BETHUNE,LILLERS,62516,X,X
2023_A0087_FCP _ALIL_0001,FCP ATELIER,LILLE,MARQUETTE LEZ LILLE,59386,X,X
2023_A0163_INST_ALIL_0001,INSTEP,LILLE,HALLUIN,59279,X,
2023_A0155_ID F_ALIL_0001,ID FORMATION,LILLE,MARQUETTE LEZ LILLE,59386,X,X
2023_A0456_AREP_AAVE_0001,AREP,AVESNES SUR HELPE,MAUBEUGE,59392,X,X
2023_A0093_GIP _AAVE_0001,GIP FCIP LILLE,AVESNES SUR HELPE,MAUBEUGE,59392,X,X
2023_A0163_INST_AVAL_0001,INSTEP,VALENCIENNES,SAINT SAULVE,59544,X,
2023_A0163_INST_ABOU_0001,INSTEP,BOULOGNE SUR MER,WIMEREUX,62893,X,
2023_A0163_INST_ABOU_0001,INSTEP,BOULOGNE SUR MER,SAINT MARTIN BOULOGNE,62758,X,
2023_A0163_INST_AMOT_0001,INSTEP,MONTREUIL,HESDIN,62447,X,
2023_A0163_INST_AMOT_0001,INSTEP,MONTREUIL,FRUGES,62364,X,
2023_A0163_INST_AMOT_0001,INSTEP,MONTREUIL,BERCK,62108,X,
2023_A0163_INST_AMOT_0001,INSTEP,MONTREUIL,ETAPLES SUR MER,62318,X,
2023_A1461_AFIP_ABEA_0002,AFIPP,BEAUVAIS,MERU,60395,X,X
2023_A0163_INST_ASTO_0001,INSTEP,SAINT OMER,AIRE SUR LA LYS,62014,X,
2023_B0009_CFP0_ALAL_0002,CFP02,LAON LAONNOIS,MONTCORNET,02502,X,X
2023_A0163_INST_ACAL_0001,INSTEP,CALAIS,GUINES,62397,X,
2023_A0456_AREP_AMOD_0001,AREP,MONTDIDIER,MONTDIDIER,80561,X,X
2023_A1459_IRFA_ACHA_0001,IRFA,CHÂTEAU THIERRY,FERE EN TARDENOIS,02305,X,
2023_A1459_IRFA_ALAC_0001,IRFA,LAON CHAUNOIS,LA FERE,02304,X,
2023_A1014_GIP _AMOD_0001,GIP FORINVAL,MONTDIDIER,MONTDIDIER,80561,X,X
2023_A0025_AIFE_ALEN_0001,AIFE,LENS,MONTIGNY EN GOHELLE,62587,X,X
2023_A1459_IRFA_ASOI_0001,IRFA,SOISSONS,VILLERS COTTERETS,02810,X,
2023_A0093_GIP _AMOT_0001,GIP FCIP LILLE,MONTREUIL,MONTREUIL,62588,X,X
2023_A1459_IRFA_AAVE_0001,IRFA,AVESNES SUR HELPE,AVESNES SUR HELPE,59036,X,
2023_A1459_IRFA_AAVE_0001,IRFA,AVESNES SUR HELPE,AULNOYE AYMERIES,59033,X,
2023_A0167_SJT_ASEN_0005,SJT,SENLIS,NOGENT SUR OISE,60463,X,X
2023_A1459_IRFA_ACOM_0001,IRFA,COMPIEGNE,NOYON,60471,X,X
2023_A1459_IRFA_ADOU_0001,IRFA,DOUAI,ORCHIES,59449,X,
2023_A0167_SJT_ACOM_0002,SJT,COMPIEGNE,NOYON,60471,X,X
2023_A1459_IRFA_ALIL_0001,IRFA,LILLE,VILLENEUVE D'ASCQ,59009,X,
2023_A1459_IRFA_ALIL_0001,IRFA,LILLE,LOOS,59360,X,
2023_A1459_IRFA_ABEA_0001,IRFA,BEAUVAIS,BEAUVAIS,60057,X,X
2023_A1014_GIP _APER_0001,GIP FORINVAL,PERONNE,PERONNE,80620,X,X
2023_A0456_AREP_ALIL_0001,AREP,LILLE,ROUBAIX,59512,X,X
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,ROUBAIX,59512,X,X
2023_A1459_IRFA_AABB_0001,IRFA,ABBEVILLE,RUE,80688,X,X
2023_A1459_IRFA_ASEN_0001,IRFA,SENLIS,SENLIS,60612,X,
2023_A1461_AFIP_ACLE_0003,AFIPP,CLERMONT,SAINT JUST EN CHAUSSEE,60581,X,X
2023_A1459_IRFA_ASEN_0001,IRFA,SENLIS,PONT SAINTE MAXENCE,60509,X,
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,SAINT NICOLAS LES ARRAS,62764,X,X
2023_A1459_IRFA_AARR_0001,IRFA,ARRAS,BAPAUME,62080,X,
2023_A0163_INST_ASTO_0001,INSTEP,SAINT OMER,SAINT OMER,62765,X,X
2023_A0048_AFP2_AARR_0001,AFP2I,ARRAS,SAINT POL SUR TERNOISE,62767,X,X
2023_A1459_IRFA_ASTO_0001,IRFA,SAINT OMER,FAUQUEMBERGUES,62325,X,
2023_A0093_GIP _AARR_0001,GIP FCIP LILLE,ARRAS,SAINT POL SUR TERNOISE,62767,X,X
2023_A1079_AIDE_ASTQ_0001,AIDEQ,SAINT QUENTINOIS,SAINT-QUENTIN,02691,X,X
2023_A1014_GIP _ASTQ_0001,GIP FORINVAL,SAINT QUENTINOIS,SAINT-QUENTIN,02691,X,X
2023_A0163_INST_ASTQ_0001,INSTEP,SAINT QUENTINOIS,SAINT-QUENTIN,02691,X,X
2023_A1459_IRFA_AABB_0001,IRFA,ABBEVILLE,GAMACHES,80373,X,
2023_A1459_IRFA_AAMI_0001,IRFA,AMIENS,CORBIE,80212,X,
2023_B0009_CFP0_ASOI_0001,CFP02,SOISSONS,SOISSONS,02722,X,X
2023_A0456_AREP_ALIL_0001,AREP,LILLE,TOURCOING,59599,X,X
2023_A0093_GIP _ALIL_0001,GIP FCIP LILLE,LILLE,TOURCOING,59599,X,X
2023_A0163_INST_ALIL_0001,INSTEP,LILLE,TOURCOING,59599,X,X
2023_B0009_CFP0_ASOI_0001,CFP02,SOISSONS,VAILLY SUR AISNE,02758,X,X
2023_A0456_AREP_AVAL_0001,AREP,VALENCIENNES,VALENCIENNES,59606,X,X
2023_A0163_INST_AVAL_0001,INSTEP,VALENCIENNES,VALENCIENNES,59606,X,X
2023_A0093_GIP _ALEN_0001,GIP FCIP LILLE,LENS,VENDIN LE VIEIL,62842,X,X
2023_A0093_GIP _AARR_0001,GIP FCIP LILLE,ARRAS,VITRY EN ARTOIS,62865,X,X
2023_A0141_OMEP_ALIL_0002,OMEP,LILLE,WATTRELOS,59650,X,X
